# Per-epoch training curves for the four 250-epoch matched-budget arms.
# Source: SLURM stdout on the DoC NFS home, ~/msc_thesis/RoPART/in100-*-e250_<job>.out
# All ViT-B/32 @ 224, IN-100, P=32, bf16, variance balancing, 250 epochs, cosine to min_lr.
arm,job,epoch,lr,train_loss
ropart30,269806,34,4.83e-04,0.3480
ropart30,269806,35,4.82e-04,0.3426
ropart30,269806,36,4.81e-04,0.3369
ropart30,269806,37,4.80e-04,0.3306
ropart30,269806,38,4.78e-04,0.3270
ropart30,269806,39,4.77e-04,0.3218
ropart30,269806,40,4.76e-04,0.3173
ropart30,269806,41,4.74e-04,0.3141
ropart30,269806,42,4.73e-04,0.3095
ropart30,269806,43,4.71e-04,0.3076
ropart30,269806,44,4.70e-04,0.3023
ropart30,269806,45,4.68e-04,0.2987
ropart30,269806,46,4.67e-04,0.2954
ropart30,269806,47,4.65e-04,0.2936
ropart30,269806,48,4.64e-04,0.2898
ropart30,269806,49,4.62e-04,0.2854
ropart30,269806,50,4.60e-04,0.2847
ropart30,269806,51,4.59e-04,0.2792
ropart30,269806,52,4.57e-04,0.2769
ropart30,269806,53,4.55e-04,0.2742
ropart30,269806,54,4.53e-04,0.2709
ropart30,269806,55,4.51e-04,0.2693
ropart30,269806,56,4.49e-04,0.2662
ropart30,269806,57,4.48e-04,0.2654
ropart30,269806,58,4.46e-04,0.2603
ropart30,269806,59,4.44e-04,0.2607
ropart30,269806,60,4.42e-04,0.2576
ropart30,269806,61,4.40e-04,0.2552
ropart30,269806,62,4.37e-04,0.2535
ropart30,269806,63,4.35e-04,0.2510
ropart30,269806,64,4.33e-04,0.2482
ropart30,269806,65,4.31e-04,0.2477
ropart30,269806,66,4.29e-04,0.2446
ropart30,269806,67,4.27e-04,0.2426
ropart30,269806,68,4.24e-04,0.2399
ropart30,269806,69,4.22e-04,0.2400
ropart30,269806,70,4.20e-04,0.2390
ropart30,269806,71,4.17e-04,0.2365
ropart30,269806,72,4.15e-04,0.2349
ropart30,269806,73,4.13e-04,0.2318
ropart30,269806,74,4.10e-04,0.2298
ropart30,269806,75,4.08e-04,0.2284
ropart30,269806,76,4.05e-04,0.2279
ropart30,269806,77,4.03e-04,0.2263
